variable_name,variable_label,avail_from_dt,table_name
mcs_llc_fid_e,Encrypted Family/Household anonymised ID for LLC,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BACTRY00,ADMIN Country at interview (E,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BAREGN00,Interview Government Office Region,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNVIST00,sortkey: S2 NA Visit number,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNDOWK00,S2 NA Day of visit,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNCTME00,S2 NA Time of day of visit,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNGCND00,S2 NA General condition buildings in street?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNBSEC00,S2 NA Security blinds etc,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNTCLM00,S2 NA Traffic calming,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNVTRF00,S2 NA Volume of traffic,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNBOCR00,S2 NA Burnt-out cars on the street?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNLITR00,S2 NA Is there any litter etc in the street or on the pavement?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNDFCS00,S2 NA Is there dog mess on the pavement?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNGRFT00,S2 NA Is there any graffiti on walls or on public spaces?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNVAND00,S2 NA Is there any evidence of vandalism ?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNRWDY00,S2 NA Is there any arguing or fighting on street?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
BNSFTY00,S2 NA How did you feel in the street?,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
LLC_ID,None,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
PNUM,None,2022-01-02 23:12:37.370,mcs2_neighbourhood_observations_v0001_20211101
