Variable no,Variable Description
covid1m_0001,Questionnaire sent to participant: COVID1
covid1m_0002,Questionnaire completed by participant: COVID1
covid1m_1001,a1b: Participant has diabetes (Type I or II): COVID1
covid1m_1002,a1c: Participant has heart disease or heart problems: COVID1
covid1m_1003,a1d: Participant has hypertension (high blood pressure): COVID1
covid1m_1004,a1e: Participant is overweight: COVID1
covid1m_1006,a1g: Participant has kidney disease: COVID1
covid1m_1007,a1h: Participant has liver disease: COVID1
covid1m_1008,a1i: Participant has anaemia : COVID1
covid1m_1009,a1j: Participant has asthma: COVID1
covid1m_1010,a1k: Participant has other lung condition: COVID1
covid1m_1011,a1l: Participant has cancer: COVID1
covid1m_1012,a1m: Participant has condition affecting the brain and nerves: COVID1
covid1m_1013,a1n: Pp has weakened immune system/reduced ability to fight infections: COVID1
covid1m_1014,a1o: Participant has depression: COVID1
covid1m_1015,a1p: Participant has anxiety: COVID1
covid1m_1016,a1q: Participant has a psychiatric disorder : COVID1
covid1m_1050,a2a: Pp has health problems that requires them to limit activity: COVID1
covid1m_1051,a2b: Participant needs someone to help them on a regular basis: COVID1
covid1m_1052,a2c: Pp has a health problem that requires them to stay at home: COVID1
covid1m_1053,a2d: Participant can count on someone close to them if they need help: COVID1
covid1m_1054,a2e: Participant regularly uses a stick/walker/wheelchair to move about: COVID1
covid1m_1100,a3: Participant currently takes regular medication: COVID1
covid1m_1110,Med 1: Participant takes another medication: COVID1
covid1m_1120,Med 2: Participant takes another medication: COVID1
covid1m_1130,Med 3: Participant takes another medication: COVID1
covid1m_1140,Med 4: Participant takes another medication: COVID1
covid1m_1150,Med 5: Participant takes another medication: COVID1
covid1m_1160,Med 6: Participant takes another medication: COVID1
covid1m_1170,Med 7: Participant takes another medication: COVID1
covid1m_1180,Med 8: Participant takes another medication: COVID1
covid1m_1190,Med 9: Participant takes another medication: COVID1
covid1m_1200,Med 10: Participant takes another medication: COVID1
covid1m_1210,Med 11: Participant takes another medication: COVID1
covid1m_1220,Med 12: Participant takes another medication: COVID1
covid1m_1250,DV: Number of medications taken: COVID1
covid1m_1300,a4: When not have a cold; usually brings up phlegm from lungs: COVID1
covid1m_1500,a5: Participant lives overseas: COVID1
covid1m_1510,a5: Participant has travelled outside their home country since Oct 2019: COVID1
covid1m_1520,Trip 1: Participant has been anywhere else since 1/10/19: COVID1
covid1m_1530,Trip 2: Participant has been anywhere else since 1/10/19: COVID1
covid1m_1540,Trip 3: Participant has been anywhere else since 1/10/19: COVID1
covid1m_1550,Trip 4: Participant has been anywhere else since 1/10/19: COVID1
covid1m_1560,Trip 5: Participant has been anywhere else since 1/10/19: COVID1
covid1m_1650,DV: Number of overseas trips taken: COVID1
covid1m_2000,a6a1: Participant ever had a decrease in appetite since Oct: COVID1
covid1m_2001,a6a1:  Participant had a decrease in appetite in Oct: COVID1
covid1m_2002,a6a1: Participant had a decrease in appetite in Nov: COVID1
covid1m_2003,a6a1:  Participant had a decrease in appetite in Dec: COVID1
covid1m_2004,a6a1:  Participant had a decrease in appetite in Jan: COVID1
covid1m_2005,a6a1:  Participant had a decrease in appetite in Feb: COVID1
covid1m_2006,a6a1:  Participant had a decrease in appetite in Mar: COVID1
covid1m_2007,a6a1:  Participant had a decrease in appetite in Apr: COVID1
covid1m_2008,a6a1:  Participant had a decrease in appetite in last week: COVID1
covid1m_2010,a6a2: Participant ever had nausea and/or vomiting since Oct: COVID1
covid1m_2011,a6a2:  Participant had nausea and/or vomiting in Oct: COVID1
covid1m_2012,a6a2:  Participant had nausea and/or vomiting in Nov: COVID1
covid1m_2013,a6a2:  Participant had nausea and/or vomiting in Dec: COVID1
covid1m_2014,a6a2:  Participant had nausea and/or vomiting in Jan: COVID1
covid1m_2015,a6a2:  Participant had nausea and/or vomiting in Feb: COVID1
covid1m_2016,a6a2:  Participant had nausea and/or vomiting in Mar: COVID1
covid1m_2017,a6a2:  Participant had nausea and/or vomiting in Apr: COVID1
covid1m_2018,a6a2:  Participant had nausea and/or vomiting in last week: COVID1
covid1m_2020,a6a3: Participant ever had diarrhoea since Oct: COVID1
covid1m_2021,a6a3:  Participant had diarrhoea in Oct: COVID1
covid1m_2022,a6a3:  Participant had diarrhoea in Nov: COVID1
covid1m_2023,a6a3:  Participant had diarrhoea in Dec: COVID1
covid1m_2024,a6a3:  Participant had diarrhoea in Jan: COVID1
covid1m_2025,a6a3:  Participant had diarrhoea in Feb: COVID1
covid1m_2026,a6a3:  Participant had diarrhoea in Mar: COVID1
covid1m_2027,a6a3:  Participant had diarrhoea in Apr: COVID1
covid1m_2028,a6a3:  Participant had diarrhoea in last week: COVID1
covid1m_2030,a6a4: Participant ever had abdominal pain/tummy ache since Oct: COVID1
covid1m_2031,a6a4:  Participant had abdominal pain/tummy ache in Oct: COVID1
covid1m_2032,a6a4:  Participant had abdominal pain/tummy ache in Nov: COVID1
covid1m_2033,a6a4:  Participant had abdominal pain/tummy ache in Dec: COVID1
covid1m_2034,a6a4:  Participant had abdominal pain/tummy ache in Jan: COVID1
covid1m_2035,a6a4:  Participant had abdominal pain/tummy ache in Feb: COVID1
covid1m_2036,a6a4:  Participant had abdominal pain/tummy ache in Mar: COVID1
covid1m_2037,a6a4:  Participant had abdominal pain/tummy ache in Apr: COVID1
covid1m_2038,a6a4:  Participant had abdominal pain/tummy ache in last week: COVID1
covid1m_2040,a6a5: Participant ever had runny nose since Oct: COVID1
covid1m_2041,a6a5:  Participant had runny nose in Oct: COVID1
covid1m_2042,a6a5:  Participant had runny nose in Nov: COVID1
covid1m_2043,a6a5:  Participant had runny nose in Dec: COVID1
covid1m_2044,a6a5:  Participant had runny nose in Jan: COVID1
covid1m_2045,a6a5:  Participant had runny nose in Feb: COVID1
covid1m_2046,a6a5:  Participant had runny nose in Mar: COVID1
covid1m_2047,a6a5:  Participant had runny nose in Apr: COVID1
covid1m_2048,a6a5:  Participant had runny nose in last week: COVID1
covid1m_2050,a6a6: Participant ever had sneezing since Oct: COVID1
covid1m_2051,a6a6:  Participant had sneezing in Oct: COVID1
covid1m_2052,a6a6:  Participant had sneezing in Nov: COVID1
covid1m_2053,a6a6:  Participant had sneezing in Dec: COVID1
covid1m_2054,a6a6:  Participant had sneezing in Jan: COVID1
covid1m_2055,a6a6:  Participant had sneezing in Feb: COVID1
covid1m_2056,a6a6:  Participant had sneezing in Mar: COVID1
covid1m_2057,a6a6:  Participant had sneezing in Apr: COVID1
covid1m_2058,a6a6:  Participant had sneezing in last week: COVID1
covid1m_2060,a6a7: Participant ever had a blocked nose since Oct: COVID1
covid1m_2061,a6a7:  Participant had a blocked nose in Oct: COVID1
covid1m_2062,a6a7:  Participant had a blocked nose in Nov: COVID1
covid1m_2063,a6a7:  Participant had a blocked nose in Dec: COVID1
covid1m_2064,a6a7:  Participant had a blocked nose in Jan: COVID1
covid1m_2065,a6a7:  Participant had a blocked nose in Feb': COVID1
covid1m_2066,a6a7:  Participant had a blocked nose in Mar: COVID1
covid1m_2067,a6a7:  Participant had a blocked nose in Apr: COVID1
covid1m_2068,a6a7:  Participant had a blocked nose in last week: COVID1
covid1m_2070,a6a8: Participant ever had sore eyes since Oct: COVID1
covid1m_2071,a6a8:  Participant had sore eyes in Oct: COVID1
covid1m_2072,a6a8: Participant had sore eyes in Nov: COVID1
covid1m_2073,a6a8:  Participant had sore eyes in Dec: COVID1
covid1m_2074,a6a8:  Participant had sore eyes in Jan: COVID1
covid1m_2075,a6a8:  Participant had sore eyes in Feb: COVID1
covid1m_2076,a6a8:  Participant had sore eyes in Mar: COVID1
covid1m_2077,a6a8:  Participant had sore eyes in Apr: COVID1
covid1m_2078,a6a8:  Participant had sore eyes in last week: COVID1
covid1m_2080,a6a9: Participant ever had loss of sense of smell or taste since Oct: COVID1
covid1m_2081,a6a9:  Participant had loss of sense of smell or taste in Oct: COVID1
covid1m_2082,a6a9:  Participant had loss of sense of smell or taste in Nov: COVID1
covid1m_2083,a6a9:  Participant had loss of sense of smell or taste in Dec: COVID1
covid1m_2084,a6a9:  Participant had loss of sense of smell or taste in Jan: COVID1
covid1m_2085,a6a9:  Participant had loss of sense of smell or taste in Feb: COVID1
covid1m_2086,a6a9:  Participant had loss of sense of smell or taste in Mar: COVID1
covid1m_2087,a6a9:  Participant had loss of sense of smell or taste in Apr: COVID1
covid1m_2088,a6a9:  Participant had loss of sense of smell or taste in last week: COVID1
covid1m_2090,a6a10: Participant ever had a sore throat since Oct: COVID1
covid1m_2091,a6a10:  Participant had a sore throat in Oct: COVID1
covid1m_2092,a6a10:  Participant had a sore throat in Nov: COVID1
covid1m_2093,a6a10:  Participant had a sore throat in Dec: COVID1
covid1m_2094,a6a10:  Participant had a sore throat in Jan: COVID1
covid1m_2095,a6a10:  Participant had a sore throat in Feb: COVID1
covid1m_2096,a6a10:  Participant had a sore throat in Mar: COVID1
covid1m_2097,a6a10:  Participant had a sore throat in Apr: COVID1
covid1m_2098,a6a10:  Participant had a sore throat in last week: COVID1
covid1m_2100,a6a11: Participant ever had a hoarse voice since Oct: COVID1
covid1m_2101,a6a11:  Participant had a hoarse voice in Oct: COVID1
covid1m_2102,a6a11:  Participant had a hoarse voice in Nov: COVID1
covid1m_2103,a6a11:  Participant had a hoarse voice in Dec: COVID1
covid1m_2104,a6a11:  Participant had a hoarse voice in Jan: COVID1
covid1m_2105,a6a11:  Participant had a hoarse voice in Feb: COVID1
covid1m_2106,a6a11:  Participant had a hoarse voice in Mar: COVID1
covid1m_2107,a6a11:  Participant had a hoarse voice in Apr: COVID1
covid1m_2108,a6a11:  Participant had a hoarse voice in last week: COVID1
covid1m_2110,a6a12: Pp ever had headaches more often/worse than usual since Oct: COVID1
covid1m_2111,a6a12:  Participant had headaches more often/worse than usual in Oct: COVID1
covid1m_2112,a6a12:  Participant had headaches more often/worse than usual in Nov: COVID1
covid1m_2113,a6a12:  Participant had headaches more often/worse than usual in Dec: COVID1
covid1m_2114,a6a12:  Participant had headaches more often/worse than usual in Jan: COVID1
covid1m_2115,a6a12:  Participant had headaches more often/worse than usual in Feb: COVID1
covid1m_2116,a6a12:  Participant had headaches more often/worse than usual in Mar: COVID1
covid1m_2117,a6a12:  Participant had headaches more often/worse than usual in Apr: COVID1
covid1m_2118,a6a12: Pp had headaches more often/worse than usual in last week: COVID1
covid1m_2120,a6a13: Participant ever had dizziness since Oct: COVID1
covid1m_2121,a6a13:  Participant had dizziness in Oct: COVID1
covid1m_2122,a6a13:  Participant had dizziness in Nov: COVID1
covid1m_2123,a6a13:  Participant had dizziness in Dec: COVID1
covid1m_2124,a6a13:  Participant had dizziness in Jan: COVID1
covid1m_2125,a6a13:  Participant had dizziness in Feb: COVID1
covid1m_2126,a6a13:  Participant had dizziness in Mar: COVID1
covid1m_2127,a6a13:  Participant had dizziness in Apr: COVID1
covid1m_2128,a6a13:  Participant had dizziness in last week: COVID1
covid1m_2130,a6a14: Participant ever had a new persistent cough since Oct: COVID1
covid1m_2131,a6a14:  Participant had a new persistent cough in Oct: COVID1
covid1m_2132,a6a14:  Participant had a new persistent cough in Nov: COVID1
covid1m_2133,a6a14:  Participant had a new persistent cough in Dec: COVID1
covid1m_2134,a6a14:  Participant had a new persistent cough in Jan: COVID1
covid1m_2135,a6a14:  Participant had a new persistent cough in Feb: COVID1
covid1m_2136,a6a14:  Participant had a new persistent cough in Mar: COVID1
covid1m_2137,a6a14:  Participant had a new persistent cough in Apr: COVID1
covid1m_2138,a6a14:  Participant had a new persistent cough in last week: COVID1
covid1m_2140,a6a15: Participant ever had tightness in the chest since Oct: COVID1
covid1m_2141,a6a15:  Participant had tightness in the chest in Oct: COVID1
covid1m_2142,a6a15:  Participant had tightness in the chest in Nov: COVID1
covid1m_2143,a6a15:  Participant had tightness in the chest in Dec: COVID1
covid1m_2144,a6a15:  Participant had tightness in the chest in Jan: COVID1
covid1m_2145,a6a15:  Participant had tightness in the chest in Feb: COVID1
covid1m_2146,a6a15:  Participant had tightness in the chest in Mar: COVID1
covid1m_2147,a6a15:  Participant had tightness in the chest in Apr: COVID1
covid1m_2148,a6a15:  Participant had tightness in the chest in last week: COVID1
covid1m_2150,a6a16: Participant ever had chest pain since Oct: COVID1
covid1m_2151,a6a16:  Participant had chest pain in Oct: COVID1
