table_name,variable_name,value_value,value_label,avail_from_dt
MDQ_v0002_20220302,mdqa1,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa1,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa10,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa10,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa11,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa11,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa12,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa12,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa13,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa13,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa2,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa2,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa3,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa3,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa4,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa4,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa5,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa5,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa6,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa6,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa7,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa7,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa8,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa8,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa9,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqa9,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqb,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqb,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqc,0,No,2022-03-24 23:13:46.343
MDQ_v0002_20220302,mdqc,1,Yes,2022-03-24 23:13:46.343
MDQ_v0002_20220302,total,2,Minor problem,2022-03-24 23:13:46.343
MDQ_v0002_20220302,total,3,Moderate problem,2022-03-24 23:13:46.343
MDQ_v0002_20220302,total,4,Serious problem,2022-03-24 23:13:46.343
MDQ_v0002_20220302,total,1,No problem,2022-03-24 23:13:46.343
MDQ_v0002_20220302,appt,,timestamp,2022-03-24 23:13:46.343
