table_name,variable_name,value_value,value_label,avail_from_dt
TOBACCO_v0002_20220302,ever_smoke,2,"Yes, but stopped within past 12 months",2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,ever_smoke,3,"Yes, but stopped more than 12 months ago",2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,ever_smoke,4,"No, never smoked",2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,ever_smoke,1,"Yes, currently smoke",2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_home,2,Yes some,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_home,3,Yes a little,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_home,4,No none at all,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_home,1,Yes a lot,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_other,2,Yes some,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_other,3,Yes a little,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_other,4,No none at all,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_other,1,Yes a lot,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,10,70+,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,2,1-4 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,3,5-9 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,4,10-19 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,5,20-29 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,6,30-39 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,7,40-49 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,8,50-59 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,9,60-69 inclusive,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_week,1,0,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_work,2,Yes some,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_work,3,Yes a little,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_work,4,No none at all,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,exposure_work,1,Yes a lot,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,with_smoker,0,No,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,with_smoker,1,Yes,2022-03-24 23:13:46.343
TOBACCO_v0002_20220302,appt,,timestamp,2022-03-24 23:13:46.343
