table_name,variable_name,value_value,value_label,avail_from_dt
HOUSEHOLD_v0002_20220302,couple,2,No,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,couple,1,Yes,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,1,1,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,10,10+,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,2,2,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,3,3,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,4,4,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,5,5,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,6,6,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,7,7,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,8,8,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,9,9,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,people,0,0,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,2,Own with mortgage,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,3,Rent from local authority,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,4,Rent from private landlord or agency,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,5,Pay part rent and part mortgage,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,6,Live rent free,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,7,Other,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,status,1,Own outright,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,2,Flat or apartment,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,3,Hostel,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,4,Mobile or caravan,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,5,Sheltered house,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,6,Homeless,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,7,Other,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,type,1,House or bungalow,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,1,1,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,10,10+,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,2,2,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,3,3,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,4,4,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,5,5,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,6,6,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,7,7,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,8,8,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,9,9,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,vehicles,0,0,2022-03-24 23:13:46.343
HOUSEHOLD_v0002_20220302,appt,,timestamp,2022-03-24 23:13:46.343
