variable_name,variable_label,avail_from_dt,table_name
study_id,,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
idahhw9_e,Encrypted Analytical Wave 9 household serial number,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
perid,Person number in household,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
iintdatd,interview day   - individual interview,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
iintdatm,interview month - individual interview,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
iintdaty,interview year  - individual interview,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoprosp,Problems in accommodation: shortage of space,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hopronz,Problems in accommodation: noise from neighbours,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoprosn,Problems in accommodation: other street noise,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoprodk,Problems in accommodation: too dark/not enough light,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hopropo,Problems in accommodation: pollution; grime,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoprord,Problems in accommodation: rising damp,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoprowa,Problems in accommodation: water leaks from roof/gutters/windows,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoprocp,Problems in accommodation: bad condensation problem,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoproep,Problems in accommodation: electrical or plumbing problems,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
hoproro,Problems in accommodation: rot and decay,2022-03-17 13:38:12.677,wave_9_elsa_data_eul_ho2_v0001_20211101
